1Agent_id,2fast turn number,3turning_speed,4hb_number,5acc_number,6Average over speed,7ov_duration,8speeding times,9time
526756,8,3.397531114,3,1,0.710009361,731,31,6336
526757,1,4.633269841,5,0,2.989823635,793,29,2243
526758,2,4.644203557,1,7,13.15349183,9809,256,32728
526759,4,2.778736469,28,14,31.71206998,1331,61,30809
526761,0,3.260588105,18,2,3.724584858,2393,87,11495
526762,0,3.266747318,47,6,19.28704251,7603,235,59324
526763,0,2.981131336,25,2,2.114518273,3100,101,48466
526764,2,2.45151711,200,23,38.24513004,9581,369,110443
526765,3,4.384221359,8,9,27.70029793,15254,340,144220
526767,5,3.2495299,139,37,40.01964539,9291,416,103109
526768,1,3.237950803,39,1,7.144626331,6665,132,50658
526769,9,5.021555635,5,2,8.004045989,4631,136,34319
526770,2,5.629239196,0,0,0.439121238,980,10,3645
526771,1,4.009038512,20,0,4.62332826,822,48,6646
526774,1,2.413206236,5,1,1.211592853,304,19,18615
526775,0,4.377567683,53,15,28.97564611,5238,203,35918
526776,3,2.79330905,1,0,0.77052441,183,16,5200
526778,1,2.82540946,0,0,1.017085245,20,2,1414
526779,2,3.082530713,3,0,1.640304882,1829,27,10850
526781,1,5.320219378,0,0,2.80184526,1919,48,7918
526783,0,2.744845937,12,1,3.23590275,1457,34,12428
526784,13,16.10732643,44,3,4735.855452,5090,138,19693
526785,1,3.370726654,15,3,2.608841584,1730,51,20910
526786,0,2.492403811,7,0,2.017435298,1194,26,4269
526787,0,2.453993422,46,9,42.52422506,4000,74,64265
526790,0,2.810573464,18,1,9.290330829,2377,78,24676
526791,2,4.745553745,9,1,2.662507662,1388,42,10707
526792,0,2.431251475,19,1,0.97247039,639,21,5558
526793,0,1.931900536,50,5,20.92401199,1126,49,100037
526794,0,3.204475812,8,2,8.796347771,3017,186,51105
526795,2,3.398054456,6,6,21.57910434,22228,337,86288
526796,2,2.843255493,70,4,34.04921462,2885,136,83371
526797,9,5.544095275,39,3,8.191323544,2873,153,35854
526798,0,3.667064818,5,3,1.932683099,1555,37,8943
526799,1,3.293014119,10,1,1.556141753,403,26,2828
526800,3,4.938444647,31,0,2.242018094,6694,74,16142
526801,0,2.829421214,21,0,1.102204535,148,22,12606
526802,3,2.61483873,45,10,28.6041794,16624,416,136876
526803,9,3.425042072,14,1,16.34284117,11708,231,75090
526804,1,3.534084775,2,0,1.84209433,1823,56,8164
526805,5,5.767339854,2,1,1.332895415,1197,25,3604
526806,0,3.646394252,10,2,6.296419211,2351,66,11384
526807,2,4.700473412,259,11,3483.143095,18353,766,115755
526808,0,3.875467542,9,2,6.32896427,1550,75,20251
526809,4,4.652725038,155,5,32.67408068,15958,418,88907
